;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 29/04/2022 03:30:18
;----------------------------------------------

;Address Opcode 	ASM
;update_week4_project.c,226 :: 		INTCON.INTF=0;// bit 1 ==of> reg INTCON ==job> set back to 0 tell that interrupion is finished back to normal
0x0042	0x108B      	BCF        INTCON, 1
;update_week4_project.c,227 :: 		}
L_interrupt17:
;update_week4_project.c,229 :: 		if( INTCON.RBIF==1  ){
0x0043	0x1C0B      	BTFSS      INTCON, 0
0x0044	0x287C      	GOTO       L_interrupt23
;update_week4_project.c,231 :: 		if( (button_rb4 ==1) && (flag_store_position == 0)){
0x0045	0x1E06      	BTFSS      PORTB, 4
0x0046	0x2860      	GOTO       L_interrupt26
0x0047	0x086A      	MOVF       _flag_store_position, 0
0x0048	0x3A00      	XORLW      0
0x0049	0x1D03      	BTFSS      STATUS, 2
0x004A	0x2860      	GOTO       L_interrupt26
L__interrupt80:
;update_week4_project.c,233 :: 		flag_store_position=1;
0x004B	0x3001      	MOVLW      1
0x004C	0x00EA      	MOVWF      _flag_store_position
;update_week4_project.c,235 :: 		motor_clockwise=1;
0x004D	0x1708      	BSF        PORTD, 6
;update_week4_project.c,236 :: 		motor_counterclockwise=0;
0x004E	0x1388      	BCF        PORTD, 7
;update_week4_project.c,237 :: 		Delay_ms(2000);
0x004F	0x300B      	MOVLW      11
0x0050	0x00FB      	MOVWF      R11
0x0051	0x3026      	MOVLW      38
0x0052	0x00FC      	MOVWF      R12
0x0053	0x305D      	MOVLW      93
0x0054	0x00FD      	MOVWF      R13
L_interrupt27:
0x0055	0x0BFD      	DECFSZ     R13, 1
0x0056	0x2855      	GOTO       L_interrupt27
0x0057	0x0BFC      	DECFSZ     R12, 1
0x0058	0x2855      	GOTO       L_interrupt27
0x0059	0x0BFB      	DECFSZ     R11, 1
0x005A	0x2855      	GOTO       L_interrupt27
0x005B	0x0000      	NOP
0x005C	0x0000      	NOP
;update_week4_project.c,238 :: 		motor_counterclockwise=0;
0x005D	0x1388      	BCF        PORTD, 7
;update_week4_project.c,239 :: 		motor_clockwise=0;
0x005E	0x1308      	BCF        PORTD, 6
;update_week4_project.c,241 :: 		}
0x005F	0x287B      	GOTO       L_interrupt28
L_interrupt26:
;update_week4_project.c,242 :: 		else if( (button_rb5 ==1) && ( flag_store_position == 1) ){
0x0060	0x1E86      	BTFSS      PORTB, 5
0x0061	0x287A      	GOTO       L_interrupt31
0x0062	0x086A      	MOVF       _flag_store_position, 0
0x0063	0x3A01      	XORLW      1
0x0064	0x1D03      	BTFSS      STATUS, 2
0x0065	0x287A      	GOTO       L_interrupt31
L__interrupt79:
;update_week4_project.c,243 :: 		flag_store_position= 0;
0x0066	0x01EA      	CLRF       _flag_store_position
;update_week4_project.c,244 :: 		motor_counterclockwise=1;
0x0067	0x1788      	BSF        PORTD, 7
;update_week4_project.c,245 :: 		motor_clockwise=0;
0x0068	0x1308      	BCF        PORTD, 6
;update_week4_project.c,246 :: 		Delay_ms(2000);
0x0069	0x300B      	MOVLW      11
0x006A	0x00FB      	MOVWF      R11
0x006B	0x3026      	MOVLW      38
0x006C	0x00FC      	MOVWF      R12
0x006D	0x305D      	MOVLW      93
0x006E	0x00FD      	MOVWF      R13
L_interrupt32:
0x006F	0x0BFD      	DECFSZ     R13, 1
0x0070	0x286F      	GOTO       L_interrupt32
0x0071	0x0BFC      	DECFSZ     R12, 1
0x0072	0x286F      	GOTO       L_interrupt32
0x0073	0x0BFB      	DECFSZ     R11, 1
0x0074	0x286F      	GOTO       L_interrupt32
0x0075	0x0000      	NOP
0x0076	0x0000      	NOP
;update_week4_project.c,247 :: 		motor_clockwise=0;
0x0077	0x1308      	BCF        PORTD, 6
;update_week4_project.c,248 :: 		motor_counterclockwise=0;
0x0078	0x1388      	BCF        PORTD, 7
;update_week4_project.c,249 :: 		}
0x0079	0x287B      	GOTO       L_interrupt33
L_interrupt31:
;update_week4_project.c,251 :: 		INTCON.RBIF=0;
0x007A	0x100B      	BCF        INTCON, 0
;update_week4_project.c,252 :: 		}
L_interrupt33:
L_interrupt28:
;update_week4_project.c,254 :: 		INTCON.RBIF=0;// bit 0 ==of> reg INTCON ==job> set back to 0 tell that interrupion is finished back to regular mode
0x007B	0x100B      	BCF        INTCON, 0
;update_week4_project.c,255 :: 		}
L_interrupt23:
;update_week4_project.c,258 :: 		if (INTCON.T0IE && INTCON.T0IF)
0x007C	0x1E8B      	BTFSS      INTCON, 5
0x007D	0x2890      	GOTO       L_interrupt36
0x007E	0x1D0B      	BTFSS      INTCON, 2
0x007F	0x2890      	GOTO       L_interrupt36
L__interrupt78:
;update_week4_project.c,260 :: 		INTCON.T0IF=0; // turn of interrupt
0x0080	0x110B      	BCF        INTCON, 2
;update_week4_project.c,262 :: 		--NB; //decrement NB until we reach 0 => job:  this helps extend the duration on witch we wants to execute our code
0x0081	0x1683      	BSF        STATUS, 5
0x0082	0x03B5      	DECF       _NB, 1
;update_week4_project.c,264 :: 		if (NB==0){
0x0083	0x0835      	MOVF       _NB, 0
0x0084	0x3A00      	XORLW      0
0x0085	0x1D03      	BTFSS      STATUS, 2
0x0086	0x2890      	GOTO       L_interrupt37
;update_week4_project.c,266 :: 		flag_display_medicine_msg_lcd=1;
0x0087	0x3001      	MOVLW      1
0x0088	0x1283      	BCF        STATUS, 5
0x0089	0x00EB      	MOVWF      _flag_display_medicine_msg_lcd
;update_week4_project.c,267 :: 		NB=fix_val_affect_to_NB_inside_interrupt_call;
0x008A	0x086F      	MOVF       _fix_val_affect_to_NB_inside_interrupt_call, 0
0x008B	0x1683      	BSF        STATUS, 5
0x008C	0x00B5      	MOVWF      _NB
;update_week4_project.c,268 :: 		TMR0=0;
0x008D	0x1283      	BCF        STATUS, 5
0x008E	0x0181      	CLRF       TMR0
;update_week4_project.c,269 :: 		INTCON.T0IF = 0;
0x008F	0x110B      	BCF        INTCON, 2
;update_week4_project.c,270 :: 		}
L_interrupt37:
;update_week4_project.c,273 :: 		}
L_interrupt36:
;update_week4_project.c,275 :: 		}// END interrupt()
L_end_interrupt:
L__interrupt84:
0x0090	0x1283      	BCF        STATUS, 5
0x0091	0x0826      	MOVF       38, 0
0x0092	0x00F0      	MOVWF      R0
0x0093	0x0825      	MOVF       37, 0
0x0094	0x00F1      	MOVWF      R1
0x0095	0x0824      	MOVF       36, 0
0x0096	0x00FB      	MOVWF      R11
0x0097	0x0823      	MOVF       35, 0
0x0098	0x00FC      	MOVWF      R12
0x0099	0x0822      	MOVF       34, 0
0x009A	0x00FD      	MOVWF      R13
0x009B	0x1683      	BSF        STATUS, 5
0x009C	0x0840      	MOVF       ___savePCLATH, 0
0x009D	0x008A      	MOVWF      PCLATH
0x009E	0x0E3F      	SWAPF      ___saveSTATUS, 0
0x009F	0x0083      	MOVWF      STATUS
0x00A0	0x0EFF      	SWAPF      R15, 1
0x00A1	0x0E7F      	SWAPF      R15, 0
0x00A2	0x0009      	RETFIE
; end of _interrupt
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x00A3	0x3010      	MOVLW      16
0x00A4	0x1283      	BCF        STATUS, 5
0x00A5	0x1303      	BCF        STATUS, 6
0x00A6	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x00A7	0x0BFD      	DECFSZ     R13, 1
0x00A8	0x28A7      	GOTO       L_Delay_50us2
0x00A9	0x0000      	NOP
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x00AA	0x0008      	RETURN
; end of _Delay_50us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x00AB	0x3008      	MOVLW      8
0x00AC	0x1283      	BCF        STATUS, 5
0x00AD	0x1303      	BCF        STATUS, 6
0x00AE	0x00FC      	MOVWF      R12
0x00AF	0x3023      	MOVLW      35
0x00B0	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x00B1	0x0BFD      	DECFSZ     R13, 1
0x00B2	0x28B1      	GOTO       L_Delay_5500us5
0x00B3	0x0BFC      	DECFSZ     R12, 1
0x00B4	0x28B1      	GOTO       L_Delay_5500us5
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x00B5	0x0008      	RETURN
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x00B6	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x00B7	0x0008      	RETURN
; end of _Delay_1us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x00B8	0x1683      	BSF        STATUS, 5
0x00B9	0x1303      	BCF        STATUS, 6
0x00BA	0x1BEC      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x00BB	0x28BF      	GOTO       L__Lcd_Cmd21
0x00BC	0x1283      	BCF        STATUS, 5
0x00BD	0x1387      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00BE	0x28C1      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x00BF	0x1283      	BCF        STATUS, 5
0x00C0	0x1787      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x00C1	0x1683      	BSF        STATUS, 5
0x00C2	0x1B6C      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x00C3	0x28C7      	GOTO       L__Lcd_Cmd23
0x00C4	0x1283      	BCF        STATUS, 5
0x00C5	0x1307      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00C6	0x28C9      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x00C7	0x1283      	BCF        STATUS, 5
0x00C8	0x1707      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x00C9	0x1683      	BSF        STATUS, 5
0x00CA	0x1AEC      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x00CB	0x28CF      	GOTO       L__Lcd_Cmd25
0x00CC	0x1283      	BCF        STATUS, 5
0x00CD	0x1287      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00CE	0x28D1      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x00CF	0x1283      	BCF        STATUS, 5
0x00D0	0x1687      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x00D1	0x1683      	BSF        STATUS, 5
0x00D2	0x1A6C      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x00D3	0x28D7      	GOTO       L__Lcd_Cmd27
0x00D4	0x1283      	BCF        STATUS, 5
0x00D5	0x1207      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00D6	0x28D9      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x00D7	0x1283      	BCF        STATUS, 5
0x00D8	0x1607      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x00D9	0x1683      	BSF        STATUS, 5
0x00DA	0x1838      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00DB	0x28DF      	GOTO       L__Lcd_Cmd29
0x00DC	0x1283      	BCF        STATUS, 5
0x00DD	0x1507      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00DE	0x28E1      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x00DF	0x1283      	BCF        STATUS, 5
0x00E0	0x1107      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x00E1	0x1587      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x00E2	0x20B6      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x00E3	0x1187      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x00E4	0x1683      	BSF        STATUS, 5
0x00E5	0x19EC      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x00E6	0x28EA      	GOTO       L__Lcd_Cmd31
0x00E7	0x1283      	BCF        STATUS, 5
0x00E8	0x1387      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00E9	0x28EC      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x00EA	0x1283      	BCF        STATUS, 5
0x00EB	0x1787      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x00EC	0x1683      	BSF        STATUS, 5
0x00ED	0x196C      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x00EE	0x28F2      	GOTO       L__Lcd_Cmd33
0x00EF	0x1283      	BCF        STATUS, 5
0x00F0	0x1307      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00F1	0x28F4      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x00F2	0x1283      	BCF        STATUS, 5
0x00F3	0x1707      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x00F4	0x1683      	BSF        STATUS, 5
0x00F5	0x18EC      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x00F6	0x28FA      	GOTO       L__Lcd_Cmd35
0x00F7	0x1283      	BCF        STATUS, 5
0x00F8	0x1287      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00F9	0x28FC      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x00FA	0x1283      	BCF        STATUS, 5
0x00FB	0x1687      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x00FC	0x1683      	BSF        STATUS, 5
0x00FD	0x186C      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x00FE	0x2902      	GOTO       L__Lcd_Cmd37
0x00FF	0x1283      	BCF        STATUS, 5
0x0100	0x1207      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x0101	0x2904      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x0102	0x1283      	BCF        STATUS, 5
0x0103	0x1607      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x0104	0x1683      	BSF        STATUS, 5
0x0105	0x1838      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0106	0x290A      	GOTO       L__Lcd_Cmd39
0x0107	0x1283      	BCF        STATUS, 5
0x0108	0x1507      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x0109	0x290C      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x010A	0x1283      	BCF        STATUS, 5
0x010B	0x1107      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x010C	0x1587      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x010D	0x20B6      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x010E	0x1187      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x010F	0x1683      	BSF        STATUS, 5
0x0110	0x1C38      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0111	0x2914      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x0112	0x20AB      	CALL       _Delay_5500us
0x0113	0x2915      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x0114	0x20A3      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x0115	0x0008      	RETURN
; end of _Lcd_Cmd
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x0116	0x1683      	BSF        STATUS, 5
0x0117	0x1303      	BCF        STATUS, 6
0x0118	0x1038      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x0119	0x086B      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x011A	0x00EC      	MOVWF      FARG_Lcd_Cmd_out_char
0x011B	0x20B8      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x011C	0x1683      	BSF        STATUS, 5
0x011D	0x1438      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x011E	0x0008      	RETURN
; end of _Lcd_Chr_CP
_FIXSIGN32:
;__Lib_MathDouble.c,112 :: 		
;__Lib_MathDouble.c,116 :: 		
0x011F	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,117 :: 		
0x0120	0x13F2      	BCF        R2, 7
;__Lib_MathDouble.c,118 :: 		
0x0121	0x3000      	MOVLW      0
;__Lib_MathDouble.c,120 :: 		
L_end_FIXSIGN32:
0x0122	0x0008      	RETURN
; end of _FIXSIGN32
_SETFOV32:
;__Lib_MathDouble.c,79 :: 		
;__Lib_MathDouble.c,86 :: 		
0x0123	0x14FB      	BSF        R11, 1
;__Lib_MathDouble.c,87 :: 		
0x0124	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,88 :: 		
0x0125	0x292D      	GOTO       SETFOV32EEE
;__Lib_MathDouble.c,89 :: 		
0x0126	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,90 :: 		
0x0127	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,91 :: 		
0x0128	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,92 :: 		
0x0129	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,93 :: 		
0x012A	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,94 :: 		
0x012B	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,95 :: 		
0x012C	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,96 :: 		
SETFOV32EEE:
;__Lib_MathDouble.c,97 :: 		
0x012D	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,99 :: 		
L_end_SETFOV32:
0x012E	0x0008      	RETURN
; end of _SETFOV32
_RES032:
;__Lib_MathDouble.c,123 :: 		
;__Lib_MathDouble.c,128 :: 		
0x012F	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,129 :: 		
0x0130	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,130 :: 		
0x0131	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,131 :: 		
0x0132	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,132 :: 		
0x0133	0x01F3      	CLRF       R3
;__Lib_MathDouble.c,133 :: 		
0x0134	0x3000      	MOVLW      0
;__Lib_MathDouble.c,135 :: 		
L_end_RES032:
0x0135	0x0008      	RETURN
; end of _RES032
_SETFUN32:
;__Lib_MathDouble.c,138 :: 		
;__Lib_MathDouble.c,145 :: 		
0x0136	0x157B      	BSF        R11, 2
;__Lib_MathDouble.c,146 :: 		
0x0137	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,147 :: 		
0x0138	0x2940      	GOTO       SETFUN32EEE
;__Lib_MathDouble.c,148 :: 		
0x0139	0x3001      	MOVLW      1
;__Lib_MathDouble.c,149 :: 		
0x013A	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,150 :: 		
0x013B	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,151 :: 		
0x013C	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,152 :: 		
0x013D	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,153 :: 		
0x013E	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,154 :: 		
0x013F	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,155 :: 		
SETFUN32EEE:
;__Lib_MathDouble.c,156 :: 		
0x0140	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,158 :: 		
L_end_SETFUN32:
0x0141	0x0008      	RETURN
; end of _SETFUN32
_Div_8X8_S:
;__Lib_Math.c,606 :: 		
;__Lib_Math.c,614 :: 		
0x0142	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,615 :: 		
0x0143	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,616 :: 		
0x0144	0x01FD      	CLRF       R13
;__Lib_Math.c,617 :: 		
0x0145	0x01F8      	CLRF       R8
;__Lib_Math.c,618 :: 		
0x0146	0x0870      	MOVF       R0, 0
;__Lib_Math.c,619 :: 		
0x0147	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,620 :: 		
0x0148	0x3400      	RETLW      0
;__Lib_Math.c,621 :: 		
0x0149	0x0674      	XORWF      R4, 0
;__Lib_Math.c,622 :: 		
0x014A	0x00FA      	MOVWF      R10
;__Lib_Math.c,623 :: 		
0x014B	0x1BFA      	BTFSC      R10, 7
;__Lib_Math.c,624 :: 		
0x014C	0x09FD      	COMF       R13, 1
;__Lib_Math.c,625 :: 		
0x014D	0x01FB      	CLRF       R11
;__Lib_Math.c,626 :: 		
0x014E	0x1FF4      	BTFSS      R4, 7
;__Lib_Math.c,627 :: 		
0x014F	0x2952      	GOTO       $+3
;__Lib_Math.c,628 :: 		
0x0150	0x09F4      	COMF       R4, 1
;__Lib_Math.c,629 :: 		
0x0151	0x0AF4      	INCF       R4, 1
;__Lib_Math.c,630 :: 		
0x0152	0x1FF0      	BTFSS      R0, 7
;__Lib_Math.c,631 :: 		
0x0153	0x2956      	GOTO       $+3
;__Lib_Math.c,632 :: 		
0x0154	0x09F0      	COMF       R0, 1
;__Lib_Math.c,633 :: 		
0x0155	0x0AF0      	INCF       R0, 1
;__Lib_Math.c,634 :: 		
0x0156	0x0870      	MOVF       R0, 0
;__Lib_Math.c,635 :: 		
0x0157	0x0474      	IORWF      R4, 0
;__Lib_Math.c,636 :: 		
0x0158	0x00FA      	MOVWF      R10
;__Lib_Math.c,637 :: 		
0x0159	0x1BFA      	BTFSC      R10, 7
;__Lib_Math.c,638 :: 		
0x015A	0x297A      	GOTO       $+32
;__Lib_Math.c,639 :: 		
0x015B	0x0874      	MOVF       R4, 0
;__Lib_Math.c,640 :: 		
0x015C	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,641 :: 		
0x015D	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,642 :: 		
0x015E	0x0D70      	RLF        R0, 0
;__Lib_Math.c,643 :: 		
0x015F	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,644 :: 		
0x0160	0x0874      	MOVF       R4, 0
;__Lib_Math.c,645 :: 		
0x0161	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,646 :: 		
0x0162	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,647 :: 		
0x0163	0x3006      	MOVLW      6
;__Lib_Math.c,648 :: 		
0x0164	0x00FC      	MOVWF      R12
;__Lib_Math.c,649 :: 		
0x0165	0x0D70      	RLF        R0, 0
;__Lib_Math.c,650 :: 		
0x0166	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,651 :: 		
0x0167	0x0874      	MOVF       R4, 0
;__Lib_Math.c,652 :: 		
0x0168	0x1870      	BTFSC      R0, 0
;__Lib_Math.c,653 :: 		
0x0169	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,654 :: 		
0x016A	0x1C70      	BTFSS      R0, 0
;__Lib_Math.c,655 :: 		
0x016B	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,656 :: 		
0x016C	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,657 :: 		
0x016D	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,658 :: 		
0x016E	0x2965      	GOTO       $-9
;__Lib_Math.c,659 :: 		
0x016F	0x1C70      	BTFSS      R0, 0
;__Lib_Math.c,660 :: 		
0x0170	0x07F8      	ADDWF      R8, 1
